Period,Play #,Q,Start Duration,Stop Duration,Start Time,Stop Time,,
,97,3,0:09:55,0:10:05,22:05:08,22:05:18,,
,98,3,0:10:01,0:10:38,22:05:14,22:05:51,,
,99,3,0:11:06,0:11:10,22:06:19,22:06:23,,
,100,3,0:11:43,0:11:50,22:06:56,22:07:03,,
,101,3,0:12:24,0:12:31,22:07:37,22:07:44,,
,102,3,0:12:49,0:12:58,22:08:02,22:08:11,,
,103,3,0:13:34,0:13:37,22:08:47,22:08:50,,
,104,3,0:17:04,0:17:20,22:12:17,22:12:33,,
,105,3,0:17:52,0:18:01,22:13:05,22:13:14,,
,106,3,0:18:29,0:18:36,22:13:42,22:13:49,,
,107,3,0:18:58,0:19:03,22:14:11,22:14:16,,
,108,3,0:19:36,0:19:38,22:14:49,22:14:51,,
,109,3,0:22:42,0:22:55,22:17:55,22:18:08,,
,110,3,0:23:34,0:23:40,22:18:47,22:18:53,,
,111,3,0:24:01,0:24:05,22:19:14,22:19:18,,
,112,3,0:24:28,0:24:32,22:19:41,22:19:45,,
,113,3,0:25:04,0:25:11,22:20:17,22:20:24,,
Period 08,114,3,0:25:32,0:25:41,22:20:45,22:20:54,,
,115,3,0:26:08,0:26:12,22:21:21,22:21:25,,
,116,3,0:26:38,0:26:42,22:21:51,22:21:55,,
,117,3,0:30:19,0:30:25,22:25:32,22:25:38,,
,118,3,0:30:59,0:31:02,22:26:12,22:26:15,,
,119,3,0:32:04,0:32:20,22:27:17,22:27:33,,
,120,3,0:32:54,0:32:58,22:28:07,22:28:11,,
,121,3,0:33:19,0:33:27,22:28:32,22:28:40,,
,122,3,0:33:59,0:34:04,22:29:12,22:29:17,,
,123,3,0:34:31,0:34:39,22:29:44,22:29:52,,
,124,3,0:35:28,0:35:32,22:30:41,22:30:45,,
,125,3,0:36:01,0:36:04,22:31:14,22:31:17,,
,126,3,0:36:42,0:36:45,22:31:55,22:31:58,,
Period 09,127,3,0:37:17,0:37:22,22:32:30,22:32:35,,
,128,3,0:38:07,0:38:10,22:33:20,22:33:23,,
,129,3,0:38:37,0:38:47,22:33:50,22:34:00,,
,130,3,0:39:55,0:40:02,22:35:08,22:35:15,,
,135,3,0:42:21,0:42:31,22:37:34,22:37:44,,
,136,3,0:43:21,0:43:24,22:38:34,22:38:37,,
,137,3,0:43:55,0:44:01,22:39:08,22:39:14,,
,138,3,0:44:31,0:44:36,22:39:44,22:39:49,,
,139,3,0:45:12,0:45:17,22:40:25,22:40:30,,
,140,3,0:45:43,0:45:44,22:40:56,22:40:57,,
,141,3,0:46:17,0:46:27,22:41:30,22:41:40,,
Period 10,142,4,0:50:22,0:50:26,22:45:35,22:45:39,,
,143,4,0:51:02,0:51:04,22:46:15,22:46:17,,
,144,4,0:52:18,0:52:29,22:47:31,22:47:42,,
,145,4,0:53:10,0:53:16,22:48:23,22:48:29,,
,146,4,0:53:42,0:53:46,22:48:55,22:48:59,,
,147,4,0:54:14,0:54:20,22:49:27,22:49:33,,
,148,4,0:54:45,0:54:54,22:49:58,22:50:07,,
,149,4,0:55:47,0:55:51,22:51:00,22:51:04,,
,150,4,0:56:22,0:56:26,22:51:35,22:51:39,,
,151,4,0:56:54,0:57:00,22:52:07,22:52:13,,
,152,4,0:57:25,0:57:32,22:52:38,22:52:45,,
,153,4,0:58:14,0:58:19,22:53:27,22:53:32,,
,154,4,0:01:54,0:02:00,22:57:07,22:57:13,,
,155,4,0:02:34,0:02:36,22:57:47,22:57:49,,
,156,4,1:05:35,1:05:49,23:00:48,23:01:02,,
,157,4,1:06:30,1:06:34,23:01:43,23:01:47,,
Period 11,158,4,1:08:08,1:08:13,23:03:21,23:03:26,,
,159,4,1:08:34,1:08:46,23:03:47,23:03:59,,
,160,4,1:09:11,1:09:14,23:04:24,23:04:27,,
,161,4,1:09:54,1:09:59,23:05:07,23:05:12,,
,162,4,1:10:24,1:10:34,23:05:37,23:05:47,,
,163,4,1:11:10,1:11:13,23:06:23,23:06:26,,
,164,4,1:11:50,1:11:56,23:07:03,23:07:09,,
,165,4,1:12:30,1:12:38,23:07:43,23:07:51,,
